#A	0.001 T/s
-1.0036	-0.99056
-1.0032	-0.99153
-1.0027	-0.99027
-1.0023	-0.99171
-1.0019	-0.99416
-1.0015	-0.99174
-1.0010	-0.99398
-1.0006	-0.99441
-1.0002	-0.99349
-0.99975	-0.99555
-0.99932	-0.99463
-0.99890	-0.99524
-0.99847	-0.99649
-0.99804	-0.99744
-0.99762	-0.99548
-0.99719	-0.99679
-0.99677	-0.99629
-0.99634	-0.99723
-0.99592	-0.99662
-0.99549	-0.99884
-0.99506	-0.99950
-0.99464	-0.99911
-0.99421	-0.99846
-0.99379	-0.98800
-0.99336	-0.98777
-0.99294	-0.98693
-0.99251	-0.98735
-0.99208	-0.98744
-0.99166	-0.98779
-0.99123	-0.98930
-0.99080	-0.98741
-0.99038	-0.99042
-0.98995	-0.99035
-0.98952	-0.99293
-0.98910	-0.99192
-0.98867	-0.99127
-0.98825	-0.99358
-0.98782	-0.99170
-0.98739	-0.99152
-0.98697	-0.99286
-0.98654	-0.99341
-0.98612	-0.99233
-0.98569	-0.99415
-0.98526	-0.99518
-0.98484	-0.99502
-0.98441	-0.99432
-0.98399	-0.99540
-0.98356	-0.99550
-0.98313	-0.99629
-0.98271	-0.99663
-0.98228	-0.99794
-0.98185	-0.99781
-0.98143	-0.99833
-0.98100	-0.99553
-0.98057	-0.99592
-0.98015	-0.99682
-0.97973	-0.98552
-0.97930	-0.98653
-0.97887	-0.98803
-0.97845	-0.98722
-0.97802	-0.98903
-0.97760	-0.98951
-0.97717	-0.98858
-0.97674	-0.99070
-0.97632	-0.99003
-0.97589	-0.98916
-0.97547	-0.99080
-0.97504	-0.99087
-0.97461	-0.99155
-0.97419	-0.98966
-0.97376	-0.99105
-0.97333	-0.99146
-0.97291	-0.99161
-0.97248	-0.99327
-0.97205	-0.99217
-0.97163	-0.99348
-0.97120	-0.99379
-0.97078	-0.99437
-0.97035	-0.99499
-0.96992	-0.99424
-0.96950	-0.99440
-0.96907	-0.99555
-0.96865	-0.99478
-0.96822	-0.99592
-0.96779	-0.99719
-0.96737	-0.99538
-0.96694	-0.99643
-0.96652	-0.99730
-0.96609	-0.99934
-0.96567	-0.98639
-0.96524	-0.98623
-0.96481	-0.98614
-0.96439	-0.98665
-0.96396	-0.98531
-0.96354	-0.98863
-0.96311	-0.98872
-0.96268	-0.98949
-0.96226	-0.99011
-0.96183	-0.98971
-0.96140	-0.99048
-0.96098	-0.99209
-0.96055	-0.99159
-0.96013	-0.99320
-0.95970	-0.99343
-0.95927	-0.99391
-0.95885	-0.99176
-0.95842	-0.99423
-0.95800	-0.99419
-0.95757	-0.99374
-0.95714	-0.99245
-0.95672	-0.99285
-0.95629	-0.99235
-0.95586	-0.99391
-0.95544	-0.99526
-0.95501	-0.99605
-0.95459	-0.99527
-0.95416	-0.99767
-0.95373	-0.99642
-0.95331	-0.99702
-0.95288	-0.99744
-0.95246	-0.99776
-0.95203	-0.99710
-0.95161	-0.98681
-0.95118	-0.98740
-0.95075	-0.98827
-0.95033	-0.98698
-0.94990	-0.98869
-0.94948	-0.98678
-0.94905	-0.98999
-0.94862	-0.98939
-0.94820	-0.98949
-0.94777	-0.99054
-0.94734	-0.99015
-0.94692	-0.99106
-0.94649	-0.98916
-0.94607	-0.99001
-0.94564	-0.99041
-0.94521	-0.99426
-0.94479	-0.99417
-0.94436	-0.99378
-0.94394	-0.99557
-0.94351	-0.99617
-0.94308	-0.99523
-0.94266	-0.99458
-0.94223	-0.99528
-0.94180	-0.99762
-0.94138	-0.99602
-0.94095	-0.99564
-0.94053	-0.99526
-0.94010	-0.99569
-0.93967	-0.99772
-0.93925	-0.99799
-0.93882	-0.99717
-0.93839	-0.99894
-0.93797	-0.99877
-0.93755	-0.98596
-0.93712	-0.98618
-0.93669	-0.98628
-0.93627	-0.98783
-0.93584	-0.98771
-0.93542	-0.98862
-0.93499	-0.98779
-0.93456	-0.98980
-0.93414	-0.99096
-0.93371	-0.99005
-0.93328	-0.98996
-0.93286	-0.99018
-0.93243	-0.99029
-0.93201	-0.98935
-0.93158	-0.99084
-0.93115	-0.99036
-0.93073	-0.98998
-0.93030	-0.98952
-0.92987	-0.99122
-0.92945	-0.99150
-0.92902	-0.99181
-0.92860	-0.99133
-0.92817	-0.99234
-0.92774	-0.99351
-0.92732	-0.99385
-0.92689	-0.99381
-0.92647	-0.99291
-0.92604	-0.99647
-0.92561	-0.99646
-0.92519	-0.99515
-0.92476	-0.99461
-0.92433	-0.99680
-0.92391	-0.98751
-0.92349	-0.98515
-0.92306	-0.98569
-0.92263	-0.98676
-0.92221	-0.98781
-0.92178	-0.98602
-0.92135	-0.98852
-0.92093	-0.98720
-0.92050	-0.98893
-0.92008	-0.98991
-0.91965	-0.98992
-0.91922	-0.99146
-0.91880	-0.98997
-0.91837	-0.99061
-0.91795	-0.99129
-0.91752	-0.99082
-0.91709	-0.99061
-0.91667	-0.99089
-0.91624	-0.99118
-0.91581	-0.99163
-0.91539	-0.99426
-0.91496	-0.99340
-0.91454	-0.99474
-0.91411	-0.99228
-0.91368	-0.99334
-0.91326	-0.99490
-0.91283	-0.99365
-0.91240	-0.99468
-0.91198	-0.99579
-0.91155	-0.99510
-0.91113	-0.99631
-0.91070	-0.99574
-0.91028	-0.99562
-0.90985	-0.98534
-0.90942	-0.98616
-0.90900	-0.98748
-0.90857	-0.98628
-0.90815	-0.98673
-0.90772	-0.98656
-0.90730	-0.98746
-0.90687	-0.98737
-0.90644	-0.98936
-0.90602	-0.98971
-0.90559	-0.98843
-0.90516	-0.99025
-0.90474	-0.98867
-0.90431	-0.99132
-0.90388	-0.99037
-0.90346	-0.99170
-0.90303	-0.99263
-0.90261	-0.99251
-0.90218	-0.99302
-0.90175	-0.99158
-0.90133	-0.99326
-0.90090	-0.99275
-0.90048	-0.99416
-0.90005	-0.99401
-0.89962	-0.99503
-0.89920	-0.99554
-0.89877	-0.99518
-0.89834	-0.99650
-0.89792	-0.99485
-0.89749	-0.99554
-0.89707	-0.99939
-0.89664	-0.99664
-0.89621	-1.0000
-0.89579	-0.98719
-0.89537	-0.98782
-0.89494	-0.98931
-0.89451	-0.98711
-0.89409	-0.99038
-0.89366	-0.98978
-0.89323	-0.98804
-0.89281	-0.98824
-0.89238	-0.98799
-0.89196	-0.98905
-0.89153	-0.98910
-0.89110	-0.98836
-0.89068	-0.99059
-0.89025	-0.99015
-0.88983	-0.99062
-0.88940	-0.99161
-0.88897	-0.99054
-0.88855	-0.99054
-0.88812	-0.99088
-0.88769	-0.99142
-0.88727	-0.99240
-0.88684	-0.99221
-0.88641	-0.99200
-0.88599	-0.99358
-0.88556	-0.99295
-0.88514	-0.99373
-0.88471	-0.99246
-0.88428	-0.99479
-0.88386	-0.99422
-0.88343	-0.99461
-0.88301	-0.99569
-0.88258	-0.99637
-0.88215	-0.99480
-0.88173	-0.98468
-0.88131	-0.98489
-0.88088	-0.98548
-0.88045	-0.98777
-0.88003	-0.98786
-0.87960	-0.98665
-0.87917	-0.98633
-0.87875	-0.98644
-0.87832	-0.98643
-0.87790	-0.98818
-0.87747	-0.98914
-0.87704	-0.98801
-0.87662	-0.98869
-0.87619	-0.98878
-0.87576	-0.98936
-0.87534	-0.99044
-0.87491	-0.99043
-0.87449	-0.98982
-0.87406	-0.99114
-0.87363	-0.99120
-0.87321	-0.99284
-0.87278	-0.99291
-0.87236	-0.99497
-0.87193	-0.99300
-0.87150	-0.99415
-0.87108	-0.99440
-0.87065	-0.99488
-0.87022	-0.99297
-0.86980	-0.99490
-0.86937	-0.99467
-0.86895	-0.99522
-0.86852	-0.99623
-0.86809	-0.99772
-0.86767	-0.98776
-0.86725	-0.98675
-0.86682	-0.98756
-0.86639	-0.98748
-0.86597	-0.98575
-0.86554	-0.98730
-0.86511	-0.98778
-0.86469	-0.99011
-0.86426	-0.98888
-0.86384	-0.98905
-0.86341	-0.98913
-0.86298	-0.98858
-0.86256	-0.98950
-0.86213	-0.99127
-0.86170	-0.99094
-0.86128	-0.99179
-0.86085	-0.99229
-0.86043	-0.99348
-0.86000	-0.99405
-0.85957	-0.99511
-0.85915	-0.99564
-0.85872	-0.99505
-0.85830	-0.99633
-0.85787	-0.99745
-0.85744	-0.99532
-0.85702	-0.99709
-0.85659	-0.99778
-0.85616	-0.99812
-0.85574	-0.99937
-0.85531	-0.99706
-0.85489	-0.99700
-0.85446	-0.99844
-0.85403	-0.99718
-0.85361	-0.98654
-0.85318	-0.98571
-0.85276	-0.98719
-0.85233	-0.98702
-0.85191	-0.98829
-0.85148	-0.98929
-0.85105	-0.98865
-0.85063	-0.99009
-0.85020	-0.99017
-0.84978	-0.99071
-0.84935	-0.99023
-0.84892	-0.99199
-0.84850	-0.98947
-0.84807	-0.99056
-0.84764	-0.99159
-0.84722	-0.99195
-0.84679	-0.99167
-0.84637	-0.99303
-0.84594	-0.99421
-0.84551	-0.99391
-0.84509	-0.99479
-0.84466	-0.99396
-0.84423	-0.99356
-0.84381	-0.99521
-0.84338	-0.99537
-0.84296	-0.99553
-0.84253	-0.99457
-0.84210	-0.99597
-0.84168	-0.99465
-0.84125	-0.99737
-0.84083	-0.99569
-0.84040	-0.99713
-0.83997	-0.99754
-0.83955	-0.98530
-0.83912	-0.98725
-0.83870	-0.98744
-0.83827	-0.98690
-0.83785	-0.98832
-0.83742	-0.98868
-0.83699	-0.98837
-0.83657	-0.98880
-0.83614	-0.98768
-0.83571	-0.98877
-0.83529	-0.98887
